year,Export Country,Import Country,Frequency
2009,Antigua & Barbuda,Argentina,0
2009,Antigua & Barbuda,Andorra,0
2009,Antigua & Barbuda,Austria,0
2009,Antigua & Barbuda,Albania,0
2009,Antigua & Barbuda,Armenia,0
2009,Antigua & Barbuda,Azerbaijan,0
2009,Antigua & Barbuda,Angola,0
2009,Antigua & Barbuda,Algeria,0
2009,Antigua & Barbuda,Afghanistan,0
2009,Antigua & Barbuda,Australia,0.25
2009,Argentina,Andorra,0
2009,Argentina,Austria,103.74
2009,Argentina,Albania,10.13
2009,Argentina,Armenia,3.11
2009,Argentina,Azerbaijan,19.94
2009,Argentina,Angola,180.11
2009,Argentina,Algeria,807.4
2009,Argentina,Afghanistan,2.71
2009,Argentina,Australia,314.03
2009,Andorra,Austria,0
2009,Andorra,Albania,0
2009,Andorra,Armenia,0
2009,Andorra,Azerbaijan,0
2009,Andorra,Angola,0
2009,Andorra,Algeria,0
2009,Andorra,Afghanistan,0
2009,Andorra,Australia,0
2009,Austria,Albania,90.68
2009,Austria,Armenia,57.43
2009,Austria,Azerbaijan,63.42
2009,Austria,Angola,38.73
2009,Austria,Algeria,266.41
2009,Austria,Afghanistan,11.92
2009,Austria,Australia,888.65
2009,Albania,Armenia,0
2009,Albania,Azerbaijan,0
2009,Albania,Angola,0
2009,Albania,Algeria,1.13
2009,Albania,Afghanistan,2.25
2009,Albania,Australia,0.23
2009,Armenia,Azerbaijan,0
2009,Armenia,Angola,0
2009,Armenia,Algeria,0.04
2009,Armenia,Afghanistan,0
2009,Armenia,Australia,0.69
2009,Azerbaijan,Angola,0.02
2009,Azerbaijan,Algeria,0.38
2009,Azerbaijan,Afghanistan,63.34
2009,Azerbaijan,Australia,147.18
2009,Angola,Algeria,0.05
2009,Angola,Afghanistan,0
2009,Angola,Australia,0.03
2009,Algeria,Afghanistan,0
2009,Algeria,Australia,132.45
2009,Afghanistan,Australia,0.18
