"interval","count"
,0
547,1
546,1
535,1
533,1
529,1
525,1
522,1
518,1
517,1
515,1
513,1
509,2
507,1
506,1
504,1
503,2
499,1
494,1
493,2
490,2
484,1
482,5
479,1
478,1
477,1
476,3
475,1
474,1
471,1
470,2
469,1
463,1
461,2
460,1
459,2
458,2
457,1
456,5
455,1
454,2
453,2
452,3
451,3
450,4
448,5
447,1
446,1
445,1
444,3
443,3
442,3
441,3
440,4
439,2
438,2
437,2
436,1
435,6
434,4
433,9
432,1
431,2
430,4
429,3
428,6
427,2
426,3
425,6
424,1
423,5
422,2
421,5
420,5
419,6
418,6
417,4
416,8
415,4
414,2
413,3
412,8
411,10
410,7
409,11
408,1
407,6
406,10
405,11
404,6
403,12
402,10
401,12
400,8
399,16
398,14
397,13
396,11
395,15
394,18
393,13
392,26
391,19
390,23
389,25
388,20
387,31
386,23
385,52
384,41
383,45
382,32
381,55
380,45
379,43
378,61
377,98
376,82
375,80
374,100
373,90
372,132
371,161
370,197
369,208
368,221
367,249
366,307
365,432
364,488
363,507
362,334
361,259
360,213
359,170
358,158
357,156
356,142
355,116
354,104
353,86
352,76
351,82
350,91
349,79
348,52
347,43
346,46
345,44
344,36
343,45
342,38
341,30
340,27
339,30
338,25
337,41
336,43
335,50
334,36
333,26
332,17
331,21
330,19
329,17
328,18
327,24
326,11
325,19
324,16
323,28
322,25
321,40
320,21
319,28
318,19
317,25
316,21
315,13
314,23
313,12
312,16
311,23
310,24
309,18
308,19
307,20
306,26
305,14
304,11
303,16
302,17
301,11
300,16
299,12
298,17
297,12
296,26
295,21
294,18
293,18
292,16
291,16
290,19
289,17
288,20
287,21
286,18
285,15
284,15
283,18
282,19
281,24
280,23
279,28
278,18
277,19
276,12
275,14
274,14
273,26
272,30
271,28
270,14
269,17
268,20
267,19
266,16
265,17
264,18
263,19
262,18
261,21
260,14
259,20
258,27
257,22
256,29
255,24
254,16
253,21
252,28
251,25
250,18
249,31
248,15
247,25
246,29
245,24
244,22
243,21
242,22
241,24
240,27
239,21
238,24
237,25
236,29
235,24
234,24
233,24
232,20
231,25
230,18
229,28
228,21
227,24
226,21
225,23
224,26
223,28
222,24
221,24
220,20
219,27
218,32
217,36
216,36
215,25
214,26
213,31
212,24
211,35
210,32
209,28
208,33
207,26
206,27
205,33
204,33
203,27
202,36
201,41
200,35
199,43
198,19
197,25
196,34
195,38
194,24
193,38
192,27
191,30
190,32
189,31
188,30
187,32
186,31
185,23
184,25
183,31
182,41
181,35
180,38
179,32
178,23
177,35
176,33
175,27
174,42
173,20
172,29
171,31
170,36
169,21
168,46
167,28
166,31
165,30
164,28
163,33
162,34
161,47
160,39
159,31
158,36
157,25
156,34
155,38
154,38
153,31
152,45
151,44
150,34
149,36
148,37
147,47
146,53
145,41
144,34
143,30
142,36
141,35
140,45
139,54
138,31
137,36
136,44
135,25
134,32
133,41
132,43
131,38
130,32
129,30
128,32
127,47
126,50
125,46
124,45
123,47
122,40
121,41
120,56
119,59
118,56
117,48
116,47
115,48
114,46
113,48
112,56
111,58
110,36
109,35
108,37
107,41
106,53
105,37
104,41
103,55
102,40
101,40
100,47
99,37
98,50
97,54
96,48
95,45
94,43
93,43
92,63
91,48
90,78
89,62
88,37
87,54
86,49
85,59
84,82
83,72
82,59
81,51
80,44
79,63
78,60
77,69
76,74
75,84
74,68
73,64
72,68
71,60
70,70
69,80
68,75
67,66
66,54
65,67
64,52
63,75
62,75
61,69
60,78
59,70
58,68
57,71
56,86
55,96
54,87
53,85
52,72
51,58
50,72
49,66
48,95
47,84
46,57
45,84
44,73
43,96
42,96
41,94
40,87
39,93
38,90
37,79
36,85
35,97
34,120
33,102
32,84
31,88
30,101
29,118
28,119
27,133
26,113
25,93
24,88
23,97
22,97
21,116
20,131
19,130
18,105
17,137
16,108
15,116
14,156
13,133
12,119
11,115
10,113
9,130
8,144
7,188
6,170
5,189
4,195
3,208
2,250
1,433
0,3697
