Country,Population,Continent
Lesotho,2174645,Africa
Central African Republic,4546100,Africa
Swaziland,1319011,Africa
Afghanistan,33736494,Asia
Somalia,13908129,Africa
Guinea-Bissau,1770526,Africa
South Sudan,11882136,Africa
Zambia,16100587,Africa
Mozambique,28010691,Africa
Sierra Leone,7237025,Africa
Chad,14009413,Africa
Botswana,2209197,Africa
Guinea,12091533,Africa
Cote d'Ivoire,23108472,Africa
Zimbabwe,15777451,Africa
Cameroon,22834522,Africa
Angola,27859305,Africa
Mali,17467905,Africa
Malawi,17573607,Africa
"Congo, Dem. Rep.",76196619,Africa
Burkina Faso,18110624,Africa
Papua New Guinea,7919825,Australia
Niger,19896965,Africa
Equatorial Guinea,1175389,Africa
Uganda,40144870,Africa
South Africa,55291225,Africa
Burundi,10199270,Africa
Togo,7416802,Africa
"Congo, Rep.",4995648,Africa
Benin,10575952,Africa
Kiribati,112407,Australia
Liberia,4499621,Africa
Madagascar,24234088,Africa
Djibouti,927414,Africa
Solomon Islands,587482,Australia
Tanzania,53879957,Africa
Namibia,2425561,Africa
Haiti,10711061,North America
Nigeria,181181744,Africa
Vanuatu,264603,Australia
Kenya,47236259,Africa
Ethiopia,99873033,Africa
Senegal,14976994,Africa
Ghana,27582821,Africa
Fiji,892149,Australia
Rwanda,11629553,Africa
Pakistan,189380513,Asia
Gabon,1930175,Africa
Yemen,26916207,Asia
Guyana,768514,South America
Marshall Islands,52994,Australia
Lao,6663967,Asia
Mongolia,2976877,Asia
India,1309053980,Asia
Iraq,36115649,Asia
Sudan,38647803,Africa
Sao Tome and Principe,195553,Africa
Myanmar,52403669,Asia
Comoros,777424,Africa
Gambia,1977590,Africa
Syria,18734987,Asia
"Micronesia, Fed. Sts.",104433,Australia
Cambodia,15517635,Asia
Nepal,28656282,Asia
Mauritania,4182341,Africa
Kyrgyz Republic,5956900,Asia
Turkmenistan,5565284,Asia
Kazakhstan,17544126,Asia
Bangladesh,161200886,Asia
Philippines,101716359,Asia
Belarus,9489616,Europe
Russia,144096870,Europe
Indonesia,258162113,Asia
St. Vincent and the Grenadines,109455,North America
Tonga,106364,Australia
Ukraine,45154029,Europe
Egypt,93778172,Africa
Grenada,106823,North America
Belize,359288,North America
Uzbekistan,31298900,Asia
Suriname,553208,South America
North Korea,25243917,Asia
Greenland,56114,North America
Timor-Leste,1240977,Australia
Tajikistan,8548651,Asia
Trinidad and Tobago,1360092,North America
Guatemala,16252429,North America
Bhutan,787386,Asia
Georgia,3717100,Asia
Azerbaijan,9649341,Asia
Honduras,8960829,North America
Dominica,73162,North America
Samoa,193759,Australia
Bolivia,10724705,South America
Bahamas,386838,North America
Moldova,3554108,Europe
Libya,6234955,Africa
Seychelles,93419,Africa
Paraguay,6639119,South America
Brazil,205962108,South America
Mauritius,1262605,Africa
West Bank and Gaza,4422143,Asia
Morocco,34803322,Africa
Iran,79360487,Asia
Armenia,2916950,Asia
Thailand,68657600,Asia
St. Lucia,177206,North America
Venezuela,31155134,South America
Bulgaria,7177991,Europe
El Salvador,6312478,North America
Jamaica,2871934,North America
Romania,19815481,Europe
Lithuania,2904910,Europe
Dominican Republic,10528394,North America
Malaysia,30723155,Asia
Vietnam,93571567,Asia
Latvia,1977527,Europe
United Arab Emirates,9154302,Asia
Barbados,284217,North America
Aruba,104341,North America
Ecuador,16144368,South America
Mexico,125890949,North America
Serbia,7095383,Europe
China,1371220000,Asia
Algeria,39871528,Africa
Antigua and Barbuda,99923,North America
"Macedonia, FYR",2079308,Europe
Argentina,43417765,South America
Hungary,9843028,Europe
Uruguay,3431552,South America
Brunei,417542,Asia
Montenegro,622159,Europe
Oman,4199810,Asia
Sri Lanka,20966000,Asia
Tunisia,11273661,Africa
Poland,37986412,Europe
Slovak Republic,5423801,Europe
Croatia,4203604,Europe
Estonia,1315407,Europe
Nicaragua,6082035,North America
Albania,2880703,Europe
Colombia,48228697,South America
Panama,3969249,North America
Cuba,11461432,North America
Jordan,9159302,Asia
Puerto Rico,3473181,North America
Bermuda,65250,North America
Czech Republic,10546059,Europe
Bosnia and Herzegovina,3535961,Europe
Lebanon,5851479,Asia
Bahrain,1371855,Asia
United States,320896618,North America
Turkey,78271472,Asia
Chile,17762681,South America
Peru,31376671,South America
Taiwan,23485755,Asia
Saudi Arabia,31557144,Asia
Qatar,2481539,Asia
Maldives,418403,Asia
Costa Rica,4807852,North America
Kuwait,3935794,Asia
Denmark,5683483,Europe
Belgium,11274196,Europe
Portugal,10358076,Europe
Germany,81686611,Europe
"Macao, China",600942,Asia
Slovenia,2063531,Europe
Finland,5479531,Europe
Greece,10820883,Europe
South Korea,51014947,Asia
United Kingdom,65128861,Europe
Austria,8633169,Europe
Netherlands,16939923,Europe
New Zealand,4595700,Australia
Canada,35832513,North America
Ireland,4646554,Europe
Cyprus,1160985,Europe
France,66624068,Europe
Norway,5190239,Europe
Singapore,5535002,Asia
Malta,431874,Europe
Israel,8380100,Asia
Sweden,9799186,Europe
Italy,60730582,Europe
Luxembourg,569604,Europe
Australia,23850784,Australia
Spain,46444832,Europe
Switzerland,8282396,Europe
Japan,127141000,Asia
Iceland,330815,Europe
"Hong Kong, China",7291300,Asia
Andorra,78014,Europe
